game_date,season_id,elo_home,elo_away,elo_diff,elo_prob,pf_roll_home,pf_roll_away,pf_roll_diff,pa_roll_home,pa_roll_away,pa_roll_diff,win_roll_home,win_roll_away,win_roll_diff,margin_roll_home,margin_roll_away,margin_roll_diff,games_in_window_home,games_in_window_away,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_diff,market_prob_home,market_prob_away,home_players_out,away_players_out,home_players_questionable,away_players_questionable,home_injury_severity,away_injury_severity,home_win
2021-05-28,22021,1523.5281186356322,1457.70321022675,65.82490840888227,0.6860832221561788,85.16666666666667,76.0,9.166666666666671,80.33333333333333,80.5,-0.1666666666666714,0.6666666666666666,0.25,0.41666666666666663,4.833333333333343,-4.5,9.333333333333343,6.0,8.0,2.0,3.0,0,0,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-29,22021,1474.4379409968788,1481.9586020698998,-7.520661073021074,0.588958123786339,88.6,77.16666666666667,11.433333333333323,89.8,81.33333333333333,8.466666666666669,0.2,0.3333333333333333,-0.1333333333333333,-1.2000000000000028,-4.166666666666657,2.9666666666666544,5.0,6.0,2.0,3.0,0,0,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-29,22021,1535.9908189311616,1519.3985438626153,16.592275068546314,0.6220985807951414,83.66666666666667,84.16666666666667,-0.5,82.33333333333333,83.33333333333333,-1.0,0.8333333333333334,0.6666666666666666,0.16666666666666674,1.3333333333333428,0.8333333333333428,0.5,6.0,6.0,5.0,2.0,0,0,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-30,22021,1486.2573318619452,1481.8985531167853,4.3587787451599525,0.6054063868911782,76.0,75.25,0.75,77.71428571428571,84.25,-6.535714285714292,0.42857142857142855,0.25,0.17857142857142855,-1.7142857142857082,-9.0,7.285714285714292,7.0,4.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-30,22021,1529.806454192509,1451.4248746698736,78.38157952263532,0.7014376095455714,89.14285714285714,76.11111111111111,13.031746031746025,79.85714285714286,84.11111111111111,-4.253968253968253,0.7142857142857143,0.2222222222222222,0.4920634920634921,9.285714285714278,-8.0,17.285714285714278,7.0,9.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-30,22021,1470.0233212201756,1557.3952583148855,-87.37193709470989,0.4750205859687248,75.8,83.75,-7.950000000000003,80.6,73.875,6.724999999999994,0.2,0.875,-0.675,-4.799999999999997,9.875,-14.674999999999997,5.0,8.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-01,22021,1546.89567003426,1535.7777020015972,11.11796803266293,0.6146622150393638,82.66666666666667,90.625,-7.958333333333329,74.44444444444444,79.625,-5.180555555555557,0.7777777777777778,0.75,0.02777777777777779,8.222222222222229,11.0,-2.7777777777777715,9.0,8.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-01,22021,1462.658778521152,1494.0066808546087,-31.34790233345666,0.5553964902228339,88.0,76.6,11.400000000000006,89.66666666666667,83.2,6.466666666666669,0.16666666666666666,0.4,-0.23333333333333336,-1.6666666666666714,-6.6000000000000085,4.933333333333337,6.0,5.0,3.0,2.0,0,0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-01,22021,1474.1492041241218,1493.7377645456263,-19.588560421504553,0.5720430325817237,76.375,78.85714285714286,-2.482142857142861,78.25,81.85714285714286,-3.607142857142861,0.375,0.42857142857142855,-0.05357142857142855,-1.875,-3.0,1.125,8.0,7.0,2.0,3.0,0,0,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-01,22021,1545.665767683262,1445.453626860785,100.21214082247684,0.7270724682405727,89.57142857142857,76.3,13.271428571428572,83.42857142857143,85.8,-2.3714285714285666,0.8571428571428571,0.2,0.657142857142857,6.142857142857139,-9.5,15.642857142857139,7.0,10.0,4.0,2.0,0,0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-03,22021,1505.178625197261,1462.7083434724873,42.47028172477371,0.6564313077825498,79.5,77.11111111111111,2.3888888888888857,82.0,78.88888888888889,3.1111111111111143,0.5,0.3333333333333333,0.16666666666666669,-2.5,-1.7777777777777715,-0.7222222222222285,8.0,9.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-03,22021,1485.1146106590654,1439.9950762255964,45.11953443346897,0.6598624500358686,75.33333333333333,75.4,-0.06666666666667709,82.5,88.1,-5.599999999999994,0.3333333333333333,0.1,0.2333333333333333,-7.166666666666671,-12.699999999999989,5.533333333333317,6.0,10.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-03,22021,1523.5488473152589,1528.0709463023843,-4.522098987125446,0.5931302948597887,84.14285714285714,88.0,-3.857142857142861,83.42857142857143,79.0,4.428571428571431,0.7142857142857143,0.6666666666666666,0.04761904761904767,0.7142857142857082,9.0,-8.285714285714292,7.0,9.0,5.0,2.0,0,0,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-04,22021,1480.522909500801,1531.840515478518,-51.317605977716994,0.5268602428289945,76.33333333333333,85.0,-8.666666666666671,79.5,83.85714285714286,-4.357142857142861,0.3333333333333333,0.7142857142857143,-0.380952380952381,-3.1666666666666714,1.1428571428571388,-4.30952380952381,6.0,7.0,5.0,6.0,0,0,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-04,22021,1551.1243183184506,1471.550848716695,79.5734696017555,0.7028724860821569,89.375,86.71428571428571,2.660714285714292,82.125,86.71428571428571,-4.589285714285708,0.875,0.2857142857142857,0.5892857142857143,7.25,0.0,7.25,8.0,7.0,3.0,3.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-05,22021,1465.7425330800088,1539.9335521995804,-74.19101911957159,0.4939689311794168,77.25,88.6,-11.349999999999994,80.375,79.3,1.0750000000000028,0.25,0.7,-0.44999999999999996,-3.125,9.299999999999997,-12.424999999999997,8.0,10.0,8.0,2.0,0,0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-05,22021,1491.917361658348,1455.8369696281384,36.08039203020962,0.6480885651824555,78.57142857142857,76.8,1.7714285714285722,79.71428571428571,78.7,1.0142857142857054,0.42857142857142855,0.3,0.12857142857142856,-1.1428571428571388,-1.9000000000000057,0.7571428571428669,7.0,10.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-05,22021,1554.6024257334727,1511.686241418063,42.91618431540974,0.657009968464625,81.8,83.875,-2.075000000000003,73.7,84.75,-11.049999999999997,0.8,0.625,0.17500000000000004,8.099999999999994,-0.875,8.974999999999994,10.0,8.0,4.0,2.0,0,0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-06,22021,1489.9857046442212,1522.3777203350978,-32.39201569087663,0.5539118450053461,77.71428571428571,84.875,-7.160714285714292,80.14285714285714,84.125,-3.982142857142861,0.42857142857142855,0.625,-0.19642857142857145,-2.4285714285714306,0.75,-3.1785714285714306,7.0,8.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-06,22021,1557.0668685968076,1465.6082984383384,91.45857015846923,0.716959679643223,91.11111111111111,88.625,2.4861111111111143,84.33333333333333,89.0,-4.666666666666671,0.8888888888888888,0.25,0.6388888888888888,6.777777777777786,-0.375,7.152777777777786,9.0,8.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-08,22021,1455.8631544564205,1498.9074677441142,-43.04431328769374,0.5387147030690124,79.0,80.5,-1.5,82.11111111111111,80.125,1.9861111111111143,0.2222222222222222,0.5,-0.2777777777777778,-3.1111111111111143,0.375,-3.4861111111111143,9.0,8.0,3.0,2.0,0,0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-08,22021,1512.04999904161,1479.9474920312027,32.10250701040718,0.6428485587390829,79.22222222222223,86.33333333333333,-7.1111111111111,81.11111111111111,86.55555555555556,-5.444444444444443,0.5555555555555556,0.3333333333333333,0.22222222222222227,-1.8888888888888857,-0.22222222222222854,-1.6666666666666572,9.0,9.0,5.0,2.0,0,0,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-09,22021,1448.7987409317875,1433.192325226314,15.60641570547341,0.6207634978001906,76.6,74.7,1.8999999999999915,77.3,89.6,-12.299999999999997,0.3,0.1,0.19999999999999998,-0.7000000000000028,-14.899999999999991,14.199999999999989,10.0,10.0,4.0,6.0,0,0,-2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-09,22021,1513.4559572352048,1542.7276750039432,-29.271717768738426,0.5583456959516621,84.33333333333333,88.7,-4.366666666666674,85.88888888888889,82.7,3.188888888888883,0.5555555555555556,0.8,-0.24444444444444446,-1.5555555555555571,6.0,-7.555555555555557,9.0,10.0,3.0,3.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-10,22021,1465.0888603950402,1498.9555903546989,-33.86672995965864,0.5518132863074967,79.6,77.25,2.3499999999999943,82.0,77.625,4.375,0.3,0.5,-0.2,-2.4000000000000057,-0.375,-2.0250000000000057,10.0,8.0,2.0,5.0,0,0,-3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-11,22021,1502.2890433161715,1553.8945889229765,-51.60554560680498,0.526447041942199,83.0,89.4,-6.400000000000006,86.8,82.7,4.099999999999994,0.5,0.8,-0.30000000000000004,-3.799999999999997,6.700000000000003,-10.5,10.0,10.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
